Title,Body,Labels
How to understand static shape and dynamic shape in TensorFlow?,"<p>In <a href=""https://www.tensorflow.org/versions/r0.8/resources/faq.html#tensor-shapes"">TensorFlow FAQ</a>, it says:</p>

<blockquote>
  <p>In TensorFlow, a tensor has both a static (inferred) shape and a
  dynamic (true) shape. The static shape can be read using the
  tf.Tensor.get_shape() method: this shape is inferred from the
  operations that were used to create the tensor, and may be partially
  complete. If the static shape is not fully defined, the dynamic shape
  of a Tensor t can be determined by evaluating tf.shape(t).</p>
</blockquote>

<p>But I still cannot fully understand the relationship between static shape and dynamic shape. Are there any examples showing their differences? Thanks.</p>
",Data Preparation
Difference between Variable and get_variable in TensorFlow,"<p>As far as I know, <code>Variable</code> is the default operation for making a variable, and <code>get_variable</code> is mainly used for weight sharing.</p>

<p>On the one hand, there are some people suggesting using <code>get_variable</code> instead of the primitive <code>Variable</code> operation whenever you need a variable. On the other hand, I merely see any use of <code>get_variable</code> in TensorFlow's official documents and demos.</p>

<p>Thus I want to know some rules of thumbs on how to correctly use these two mechanisms. Are there any ""standard"" principles?</p>
",
Tensorflow implementation of word2vec,"<p>The Tensorflow tutorial <a href=""https://www.tensorflow.org/versions/r0.9/tutorials/word2vec/index.html#vector-representations-of-words"" rel=""noreferrer"">here</a> refers to their basic implementation which you can find on github <a href=""https://github.com/tensorflow/tensorflow/blob/r0.9/tensorflow/examples/tutorials/word2vec/word2vec_basic.py"" rel=""noreferrer"">here</a>, where the Tensorflow authors implement word2vec vector embedding training/evaluation with the Skipgram model. </p>

<p>My question is about the actual generation of (target, context) pairs in the <code>generate_batch()</code> function. </p>

<p>On <a href=""https://github.com/tensorflow/tensorflow/blob/r0.9/tensorflow/examples/tutorials/word2vec/word2vec_basic.py#L107"" rel=""noreferrer"">this line</a> Tensorflow authors randomly sample nearby target indices from the ""center"" word index in the sliding window of words. </p>

<p>However, they <a href=""https://github.com/tensorflow/tensorflow/blob/r0.9/tensorflow/examples/tutorials/word2vec/word2vec_basic.py#L104"" rel=""noreferrer"">also keep a data structure <code>targets_to_avoid</code></a> to which they add first the ""center"" context word (which of course we don't want to sample) but ALSO other words after we add them. </p>

<p>My questions are as follows:</p>

<ol>
<li>Why sample from this sliding window around the word, why not just have a loop and use them all rather than sampling? It seems strange they would worry about performance/memory in <code>word2vec_basic.py</code> (their ""basic"" implementation). </li>
<li>Whatever the answer to 1) is, why are they <em>both</em> sampling and keeping track of what they've selected with <code>targets_to_avoid</code>? If they wanted truly random, they'd use selection with replacement, and if they wanted to ensure they got all the options, they should have just used a loop and gotten them all in the first place!</li>
<li>Does the built in <a href=""https://github.com/tensorflow/tensorflow/blob/master/tensorflow/models/embedding/word2vec.py#L349"" rel=""noreferrer"">tf.models.embedding.gen_word2vec</a> work this way too? If so where can I find the source code? (couldn't find the .py file in the Github repo)</li>
</ol>

<p>Thanks!</p>
",Related to library: Lack of knowledge
How to add regularizations in TensorFlow?,"<p>I found in many available neural network code implemented using TensorFlow that regularization terms are often implemented by manually adding an additional term to loss value.</p>

<p>My questions are:</p>

<ol>
<li><p>Is there a more elegant or recommended way of regularization than doing it manually?</p></li>
<li><p>I also find that <code>get_variable</code> has an argument <code>regularizer</code>. How should it be used? According to my observation, if we pass a regularizer to it (such as <code>tf.contrib.layers.l2_regularizer</code>, a tensor representing regularized term will be computed and added to a graph collection named <code>tf.GraphKeys.REGULARIZATOIN_LOSSES</code>. Will that collection be automatically used by TensorFlow (e.g. used by optimizers when training)? Or is it expected that I should use that collection by myself?</p></li>
</ol>
",Related to library: Lack of knowledge
How to read data into TensorFlow batches from example queue?,"<p>How do I get TensorFlow example queues into proper batches for training?</p>

<p>I've got some images and labels:</p>

<pre><code>IMG_6642.JPG 1
IMG_6643.JPG 2
</code></pre>

<p>(feel free to suggest another label format; I think I may need another dense to sparse step...)</p>

<p>I've read through quite a few tutorials but don't quite have it all together yet.
Here's what I have, with comments indicating the steps required from TensorFlow's <a href=""https://www.tensorflow.org/versions/r0.8/how_tos/reading_data/index.html#reading-from-files"" rel=""noreferrer"">Reading Data</a> page.</p>

<ol>
<li>The list of filenames
(optional steps removed for the sake of simplicity)</li>
<li>Filename queue</li>
<li>A Reader for the file format</li>
<li>A decoder for a record read by the reader</li>
<li>Example queue</li>
</ol>

<p>And after the example queue I need to get this queue into batches for training; that's where I'm stuck...</p>

<p><strong>1. List of filenames</strong></p>

<p><code>files = tf.train.match_filenames_once('*.JPG')</code></p>

<p><strong>4. Filename queue</strong></p>

<p><code>filename_queue = tf.train.string_input_producer(files, num_epochs=None, shuffle=True, seed=None, shared_name=None, name=None)</code></p>

<p><strong>5. A reader</strong></p>

<p><code>reader = tf.TextLineReader()
key, value = reader.read(filename_queue)</code></p>

<p><strong>6. A decoder</strong></p>

<p><code>record_defaults = [[""""], [1]]
col1, col2 = tf.decode_csv(value, record_defaults=record_defaults)
</code>
(I don't think I need this step below because I already have my label in a tensor but I include it anyways)</p>

<p><code>features = tf.pack([col2])</code></p>

<p>The documentation page has an example to run one image, not get the images and labels into batches:</p>

<p><code>
for i in range(1200):
    # Retrieve a single instance:
    example, label = sess.run([features, col5])
</code></p>

<p>And then below it has a batching section:</p>

<pre><code>def read_my_file_format(filename_queue):
  reader = tf.SomeReader()
  key, record_string = reader.read(filename_queue)
  example, label = tf.some_decoder(record_string)
  processed_example = some_processing(example)
  return processed_example, label

def input_pipeline(filenames, batch_size, num_epochs=None):
  filename_queue = tf.train.string_input_producer(
  filenames, num_epochs=num_epochs, shuffle=True)
  example, label = read_my_file_format(filename_queue)
  # min_after_dequeue defines how big a buffer we will randomly sample
  #   from -- bigger means better shuffling but slower start up and more
  #   memory used.
  # capacity must be larger than min_after_dequeue and the amount larger
  #   determines the maximum we will prefetch.  Recommendation:
  #   min_after_dequeue + (num_threads + a small safety margin) *              batch_size
  min_after_dequeue = 10000
  capacity = min_after_dequeue + 3 * batch_size
  example_batch, label_batch = tf.train.shuffle_batch(
  [example, label], batch_size=batch_size, capacity=capacity,
  min_after_dequeue=min_after_dequeue)
  return example_batch, label_batch
</code></pre>

<p>My question is: <strong>how do I use the above example code with the code I have above?</strong>  I need <em>batches</em> to work with, and most of the tutorials come with mnist batches already.</p>

<pre><code>with tf.Session() as sess:
  sess.run(init)

  # Training cycle
for epoch in range(training_epochs):
    total_batch = int(mnist.train.num_examples/batch_size)
    # Loop over all batches
    for i in range(total_batch):
        batch_xs, batch_ys = mnist.train.next_batch(batch_size)
</code></pre>
",Hyper parameter tuning
Installing tensorflow with anaconda in windows,"<p>I have installed Anaconda on Windows 64 bit. I have downloaded PyCharm for creating a project and in the terminal of PyCharm I have installed <code>numpy</code>, <code>scipy</code>, <code>matplotlib</code> using the following commands:</p>

<pre><code>conda install numpy
conda install scipy
conda install matplotlib
</code></pre>

<p>I am not able to install Tensorflow in the same way I installed these other packages. How should I install it?</p>
",Data Preparation
Load saved checkpoint and predict not producing same results as in training,"<p>I'm training based on a sample code I found on the Internet. The accuracy in testing is at 92% and the checkpoints are saved in a directory. In parallel (the training is running for 3 days now) I want to create my prediction code so I can learn more instead of just waiting.</p>

<p>This is my third day of deep learning so I probably don't know what I'm doing. Here's how I'm trying to predict:</p>

<ul>
<li>Instantiate the model using the same code as in training</li>
<li>Load the last checkpoint</li>
<li>Try to predict</li>
</ul>

<p>The code works but the results are nowhere near 90%.</p>

<p>Here's how I create the model:</p>

<pre><code>INPUT_LAYERS = 2
OUTPUT_LAYERS = 2
AMOUNT_OF_DROPOUT = 0.3
HIDDEN_SIZE = 700
INITIALIZATION = ""he_normal""  # : Gaussian initialization scaled by fan_in (He et al., 2014)
CHARS = list(""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ ."")

def generate_model(output_len, chars=None):
    """"""Generate the model""""""
    print('Build model...')
    chars = chars or CHARS
    model = Sequential()
    # ""Encode"" the input sequence using an RNN, producing an output of HIDDEN_SIZE
    # note: in a situation where your input sequences have a variable length,
    # use input_shape=(None, nb_feature).
    for layer_number in range(INPUT_LAYERS):
        model.add(recurrent.LSTM(HIDDEN_SIZE, input_shape=(None, len(chars)), init=INITIALIZATION,
                         return_sequences=layer_number + 1 &lt; INPUT_LAYERS))
        model.add(Dropout(AMOUNT_OF_DROPOUT))
    # For the decoder's input, we repeat the encoded input for each time step
    model.add(RepeatVector(output_len))
    # The decoder RNN could be multiple layers stacked or a single layer
    for _ in range(OUTPUT_LAYERS):
        model.add(recurrent.LSTM(HIDDEN_SIZE, return_sequences=True, init=INITIALIZATION))
        model.add(Dropout(AMOUNT_OF_DROPOUT))

    # For each of step of the output sequence, decide which character should be chosen
    model.add(TimeDistributed(Dense(len(chars), init=INITIALIZATION)))
    model.add(Activation('softmax'))

    model.compile(loss='categorical_crossentropy', optimizer='adam', metrics=['accuracy'])
    return model
</code></pre>

<p>In a separate file <code>predict.py</code> I import this method to create my model and try to predict:</p>

<pre><code>...import code
model = generate_model(len(question), dataset['chars'])
model.load_weights('models/weights.204-0.20.hdf5')

def decode(pred):
    return character_table.decode(pred, calc_argmax=False)


x = np.zeros((1, len(question), len(dataset['chars'])))
for t, char in enumerate(question):
    x[0, t, character_table.char_indices[char]] = 1.

preds = model.predict_classes([x], verbose=0)[0]

print(""======================================"")
print(decode(preds))
</code></pre>

<p>I don't know what the problem is. I have about 90 checkpoints in my directory and I'm loading the last one based on accuracy. All of them saved by a <code>ModelCheckpoint</code>:</p>

<pre><code>checkpoint = ModelCheckpoint(MODEL_CHECKPOINT_DIRECTORYNAME + '/' + MODEL_CHECKPOINT_FILENAME,
                         save_best_only=True)
</code></pre>

<p>I'm stuck. What am I doing wrong?</p>
",Related to library: Lack of knowledge
What is a good explanation of how to read the histogram feature of TensorBoard?,"<p>Question is simple, <strong>how do you read those graphs</strong>? I read their explanation and it doesn't make sense to me.</p>

<p>I was reading TensorFlow's <a href=""https://github.com/tensorflow/tensorflow/blob/r0.9/tensorflow/tensorboard/README.md"">newly updated readme file for TensorBoard</a> and in it it tries to explain what a ""histogram"" is. First it clarifies that its not really a histogram:</p>

<blockquote>
  <p>Right now, its name is a bit of a misnomer, as it doesn't show
  histograms; instead, it shows some high-level statistics on a
  distribution.</p>
</blockquote>

<p>I am trying to figure out what their description is actually trying to say.</p>

<p>Right now I am trying to parse the specific sentence:</p>

<blockquote>
  <p>Each line on the chart represents a percentile in the distribution
  over the data: for example, the bottom line shows how the minimum
  value has changed over time, and the line in the middle shows how the
  median has changed.</p>
</blockquote>

<p>The first question I have is, what do they mean by ""each line"". There are horizontal axis and there are lines that make a square grid on the graph or maybe the plotted lines, themselves. Consider a screen shot from <a href=""https://www.tensorflow.org/tensorboard/index.html#events"">the TensorBoard example</a>:</p>

<p><a href=""https://i.stack.imgur.com/u7zsf.png""><img src=""https://i.stack.imgur.com/u7zsf.png"" alt=""enter image description here""></a></p>

<p>What are they referring to with ""lines""? In the above example what are the lines and percentiles that they are talking about?</p>

<p>Then the readme file tries to provide more detail with an example:</p>

<blockquote>
  <p>Reading from top to bottom, the lines have the following meaning:
  [maximum, 93%, 84%, 69%, 50%, 31%, 16%, 7%, minimum]</p>
</blockquote>

<p>However, its unclear to me what they are talking about. What is lines and what percentiles? </p>

<p>It seems that they are trying to replace this in the future, but meanwhile, I am stuck with this. Can someone help me understand how to use this?</p>
",Training: Performance
TensorBoard - Plot training and validation losses on the same graph?,"<p>Is there a way to plot both the training losses and validation losses on the <em>same</em> graph?</p>

<p>It's easy to have two separate scalar summaries for each of them individually, but this puts them on separate graphs. If both are displayed in the same graph it's much easier to see the gap between them and whether or not they have begin to diverge due to overfitting.</p>

<p>Is there a built in way to do this? If not, a work around way? Thank you much!</p>
",Related to library: Lack of knowledge
How to count total number of trainable parameters in a tensorflow model?,"<p>Is there a function call or another way to count the total number of parameters in a tensorflow graph?</p>

<p>By parameters I mean: an N dim vector of trainable variables has N parameters, a <code>NxM</code> matrix has <code>N*M</code> parameters, etc. So essentially I'd like to sum the product of the shape dimensions of all the trainable variables in a tensorflow session.</p>
",Related to library: Lack of knowledge
TensorFlow - Read all examples from a TFRecords at once?,"<p>How do you read all examples from a TFRecords at once?</p>

<p>I've been using <code>tf.parse_single_example</code> to read out individual examples using code similar to that given in the method <code>read_and_decode</code> in the <a href=""https://github.com/tensorflow/tensorflow/blob/r0.8/tensorflow/examples/how_tos/reading_data/fully_connected_reader.py"" rel=""nofollow noreferrer"">example of the fully_connected_reader</a>. However, I want to run the network against my entire validation dataset at once, and so would like to load them in their entirety instead.</p>

<p>I'm not entirely sure, but <a href=""https://www.tensorflow.org/versions/r0.8/api_docs/python/io_ops.html#parse_example"" rel=""nofollow noreferrer"">the documentation</a> seems to suggest I can use <code>tf.parse_example</code> instead of <code>tf.parse_single_example</code> to load the entire TFRecords file at once. I can't seem to get this to work though. I'm guessing it has to do with how I specify the features, but I'm not sure how in the feature specification to state that there are multiple examples.</p>

<p>In other words, my attempt of using something similar to:</p>

<pre><code>reader = tf.TFRecordReader()
_, serialized_example = reader.read(filename_queue)
features = tf.parse_example(serialized_example, features={
    'image_raw': tf.FixedLenFeature([], tf.string),
    'label': tf.FixedLenFeature([], tf.int64),
})
</code></pre>

<p>isn't working, and I assume it's because the features aren't expecting multiple examples at once (but again, I'm not sure). [This results in an error of <code>ValueError: Shape () must have rank 1</code>]</p>

<p>Is this the proper way to read all the records at once? And if so, what do I need to change to actually read the records? Thank you much!</p>
",Training
TensorFlow: How to handle void labeled data in image segmentation?,"<p>I was wondering how to handle not labeled parts of an image in image segmentation using TensorFlow. For example, my input is an image of height * width * channels. The labels are too of the size height * width, with one label for every pixel.</p>

<p>Some parts of the image are annotated, other parts are not. I would wish that those parts have no influence on the gradient computation whatsoever. Furthermore, I am not interested in the network predicting this “void” label.</p>

<p>Is there a label or a function for this? At the moment I am using <code>tf.nn.sparse_softmax_cross_entropy_with_logits</code>.</p>
",Related to library: Lack of knowledge
Simple way to visualize a TensorFlow graph in Jupyter?,"<p>The official way to visualize a TensorFlow graph is with TensorBoard, but sometimes I just want a quick look at the graph when I'm working in Jupyter.</p>

<p>Is there a quick solution, ideally based on TensorFlow tools, or standard SciPy packages (like matplotlib), but if necessary based on 3rd party libraries?</p>
",Data Preparation: Shape mismatch
How to find the variable names that are saved in a tensorflow checkpoint?,"<p>I want to see the variables that are saved in a tensorflow checkpoint along with their values.
How can I find the variable names that are saved in a tensorflow checkpoint?</p>

<p><strong><em>EDIT :</em></strong> </p>

<p>I used <code>tf.train.NewCheckpointReader</code> which is explained <a href=""https://github.com/tensorflow/tensorflow/blob/861644c0bcae5d56f7b3f439696eefa6df8580ec/tensorflow/python/training/saver_test.py#L1203"" rel=""noreferrer"">here</a>. But, it is not given in the documentation of tensorflow. Is there any other way?</p>

<p>` </p>

<pre><code>    import tensorflow as tf
    v0 = tf.Variable([[1, 2, 3], [4, 5, 6]], dtype=tf.float32, name=""v0"")
    v1 = tf.Variable([[[1], [2]], [[3], [4]], [[5], [6]]], dtype=tf.float32,
                     name=""v1"")
    init_all_op = tf.initialize_all_variables()
    save = tf.train.Saver({""v0"": v0, ""v1"": v1})
    checkpoint_path = os.path.join(model_dir, ""model.ckpt"")    

    with tf.Session() as sess:
      sess.run(init_all_op)
      # Saves a checkpoint.      
      save.save(sess, checkpoint_path)

      # Creates a reader.
      reader = tf.train.NewCheckpointReader(checkpoint_path)
      print('reder:\n', reader)

      # Verifies that the tensors exist.
      print('is exist v0?', reader.has_tensor(""v0""))
      print('is exist v1?', reader.has_tensor(""v1""))

      # Verifies that debug string contains the right strings.
      debug_string = reader.debug_string()
      print('\n All Variables: \n', debug_string)

      # Verifies get_variable_to_shape_map() returns the correct information.
      var_map = reader.get_variable_to_shape_map()
      print('\n All Variables information :\n', var_map)

      # Verifies get_tensor() returns the tensor value.
      v0_tensor = reader.get_tensor(""v0"")
      v1_tensor = reader.get_tensor(""v1"")
      print('\n   returns the v0 tensor value:\n', v0_tensor)
      print('\n   returns the v1 tensor value:\n', v1_tensor)
</code></pre>

<p>`</p>
",Related to library: Lack of knowledge
How does one initialize a variable with tf.get_variable and a numpy value in TensorFlow?,"<p>I wanted to initialize some of the variable on my network with numpy values. For the sake of the example consider:</p>

<pre><code>init=np.random.rand(1,2)
tf.get_variable('var_name',initializer=init)
</code></pre>

<p>when I do that I get an error:</p>

<pre><code>ValueError: Shape of a new variable (var_name) must be fully defined, but instead was &lt;unknown&gt;.
</code></pre>

<p>why is it that I am getting that error? </p>

<p>To try to fix it I tried doing:</p>

<pre><code>tf.get_variable('var_name',initializer=init, shape=[1,2])
</code></pre>

<p>which yielded a even weirder error:</p>

<pre><code>TypeError: 'numpy.ndarray' object is not callable
</code></pre>

<p>I tried reading <a href=""https://www.tensorflow.org/versions/r0.9/api_docs/python/state_ops.html#variable_scope"" rel=""noreferrer"">the docs and examples</a> but it didn't really help.</p>

<p>Is it not possible to initialize variables with numpy arrays with the get_variable method in TensorFlow?</p>
",Related to library: Lack of knowledge
TensorFlow - Low GPU usage on Titan X,"<p>For a while, I have been noticing that TensorFlow (v0.8) does not seem to fully use the computation power of my Titan X. For several CNNs that I have been running the GPU usage does not seem to exceed ~30%. Typically the GPU utilization is even lower, more like 15%. One particular example of a CNN that shows this behavior is the CNN from DeepMind's Atari paper with Q-learning (see link below for code). </p>

<p>When I see other people of our lab running CNNs written in Theano or Torch the GPU usage is typically 80%+. This makes me wondering, why are the CNNs that I write in TensorFlow so 'slow' and what can I do to make more efficient use of the GPU processing power? Generally, I am interested in ways to profile the GPU operations and discover where the bottlenecks are. Any recommendations how to do this are very welcome since this seems not really possible with TensorFlow at the moment.</p>

<p>Things I did to find out more about the cause of this problem:</p>

<ol>
<li><p>Analyzing TensorFlow's <strong>device placement</strong>, everything seems to be on gpu:/0 so looks OK.</p></li>
<li><p>Using <strong>cProfile</strong>, I have optimized the batch generation and other preprocessing steps. The preprocessing is performed on a single thread, but the actual optimization performed by TensorFlow steps take much longer (see average runtimes below). One obvious idea to increase the speed is by using TFs queue runners, but since the batch preparation is already 20x faster than optimization I wonder whether this is going to make a big difference.</p>

<pre><code>Avg. Time Batch Preparation: 0.001 seconds
Avg. Time Train Operation:   0.021 seconds
Avg. Time Total per Batch:   0.022 seconds (45.18 batches/second)
</code></pre></li>
<li><p>Run on multiple machines to rule out hardware issues.</p></li>
<li><p>Upgraded to the latest versions of CuDNN v5 (RC), CUDA Toolkit 7.5 and reinstalled TensorFlow from sources about a week ago.</p></li>
</ol>

<p>An example of the Q-learning CNN for which this 'problem' occurs can be found here: <a href=""https://github.com/tomrunia/DeepReinforcementLearning-Atari/blob/master/qnetwork.py"" rel=""noreferrer"">https://github.com/tomrunia/DeepReinforcementLearning-Atari/blob/master/qnetwork.py</a></p>

<p>Example of NVIDIA SMI displaying the low GPU utilization: <a href=""https://i.stack.imgur.com/shmpF.png"" rel=""noreferrer"">NVIDIA-SMI</a></p>
",Related to library: Lack of knowledge
Use LSTM tutorial code to predict next word in a sentence?,"<p>I've been trying to understand the sample code with <a href=""https://www.tensorflow.org/tutorials/recurrent"" rel=""noreferrer"">https://www.tensorflow.org/tutorials/recurrent</a>
which you can find at <a href=""https://github.com/tensorflow/models/blob/master/tutorials/rnn/ptb/ptb_word_lm.py"" rel=""noreferrer"">https://github.com/tensorflow/models/blob/master/tutorials/rnn/ptb/ptb_word_lm.py</a></p>

<p>(Using tensorflow 1.3.0.)</p>

<p>I've summarized (what I think are) the key parts, for my question, below:</p>

<pre><code> size = 200
 vocab_size = 10000
 layers = 2
 # input_.input_data is a 2D tensor [batch_size, num_steps] of
 #    word ids, from 1 to 10000

 cell = tf.contrib.rnn.MultiRNNCell(
    [tf.contrib.rnn.BasicLSTMCell(size) for _ in range(2)]
    )

 embedding = tf.get_variable(
      ""embedding"", [vocab_size, size], dtype=tf.float32)
 inputs = tf.nn.embedding_lookup(embedding, input_.input_data)

inputs = tf.unstack(inputs, num=num_steps, axis=1)
outputs, state = tf.contrib.rnn.static_rnn(
    cell, inputs, initial_state=self._initial_state)

output = tf.reshape(tf.stack(axis=1, values=outputs), [-1, size])
softmax_w = tf.get_variable(
    ""softmax_w"", [size, vocab_size], dtype=data_type())
softmax_b = tf.get_variable(""softmax_b"", [vocab_size], dtype=data_type())
logits = tf.matmul(output, softmax_w) + softmax_b

# Then calculate loss, do gradient descent, etc.
</code></pre>

<p>My biggest question is <em>how do I use the produced model to actually generate a next word suggestion, given the first few words of a sentence</em>? Concretely, I imagine the flow is like this, but I cannot get my head around what the code for the commented lines would be:</p>

<pre><code>prefix = [""What"", ""is"", ""your""]
state = #Zeroes
# Call static_rnn(cell) once for each word in prefix to initialize state
# Use final output to set a string, next_word
print(next_word)
</code></pre>

<p>My sub-questions are:</p>

<ul>
<li>Why use a random (uninitialized, untrained) word-embedding?</li>
<li>Why use softmax?</li>
<li>Does the hidden layer have to match the dimension of the input (i.e. the dimension of the word2vec embeddings)</li>
<li>How/Can I bring in a pre-trained word2vec model, instead of that uninitialized one?</li>
</ul>

<p>(I'm asking them all as one question, as I suspect they are all connected, and connected to some gap in my understanding.)</p>

<p>What I was expecting to see here was loading an existing word2vec set of word embeddings (e.g. using gensim's <code>KeyedVectors.load_word2vec_format()</code>), convert each word in the input corpus to that representation when loading in each sentence, and then afterwards the LSTM would spit out a vector of the same dimension, and we would try and find the most similar word (e.g. using gensim's <code>similar_by_vector(y, topn=1)</code>).</p>

<p>Is using softmax saving us from the relatively slow <code>similar_by_vector(y, topn=1)</code> call?</p>

<hr>

<p>BTW, for the pre-existing word2vec part of my question <a href=""https://stackoverflow.com/q/42064690/841830"">Using pre-trained word2vec with LSTM for word generation</a> is similar. However the answers there, currently, are not what I'm looking for. What I'm hoping for is a plain English explanation that switches the light on for me, and plugs whatever the gap in my understanding is.　　<a href=""https://stackoverflow.com/questions/44614097/use-pre-trained-word2vec-in-lstm-language-model"">Use pre-trained word2vec in lstm language model?</a> is another similar question.</p>

<p><strong>UPDATE:</strong> <a href=""https://stackoverflow.com/q/33773661/841830"">Predicting next word using the language model tensorflow example</a> and <a href=""https://stackoverflow.com/q/36286594/841830"">Predicting the next word using the LSTM ptb model tensorflow example</a> are similar questions. However, neither shows the code to actually take the first few words of a sentence, and print out its prediction of the next word. I tried pasting in code from the 2nd question, and from <a href=""https://stackoverflow.com/a/39282697/841830"">https://stackoverflow.com/a/39282697/841830</a> (which comes with a github branch), but cannot get either to run without errors. I think they may be for an earlier version of TensorFlow?</p>

<p><strong>ANOTHER UPDATE:</strong> Yet another question asking basically the same thing: <a href=""https://stackoverflow.com/q/42333101/841830"">Predicting Next Word of LSTM Model from Tensorflow Example</a>
It links to 
<a href=""https://stackoverflow.com/q/33773661/841830"">Predicting next word using the language model tensorflow example</a> (and, again, the answers there are not quite what I am looking for).</p>

<p>In case it still isn't clear, what I am trying to write a high-level function called <code>getNextWord(model, sentencePrefix)</code>, where <code>model</code> is a previously built LSTM that I've loaded from disk, and <code>sentencePrefix</code> is a string, such as ""Open the"", and it might return ""pod"".  I then might call it with ""Open the pod"" and it will return ""bay"", and so on.</p>

<p>An example (with a character RNN, and using mxnet) is the <code>sample()</code> function shown near the end of <a href=""https://github.com/zackchase/mxnet-the-straight-dope/blob/master/chapter05_recurrent-neural-networks/simple-rnn.ipynb"" rel=""noreferrer"">https://github.com/zackchase/mxnet-the-straight-dope/blob/master/chapter05_recurrent-neural-networks/simple-rnn.ipynb</a>
You can call <code>sample()</code> during training, but you can also call it after training, and with any sentence you want.</p>
",Related to library: Lack of knowledge
Exception CallbackOnCollectedDelegate when creating tensorflow graph,"<p>I try to build a little tensorflow application with TensorFlowSharp and sometimes I recieve this exception:</p>

<blockquote>
  <p>Managed Debugging Assistant 'CallbackOnCollectedDelegate' </p>
</blockquote>

<p>For the function <em>TensorFlowSharp!TensorFlow.TFBuffer+BufferReleaseFunc::Invoke</em></p>

<p>I tried to find out what it means but I didn't fully understand the explanations. This is the part of the code where the exception is thrown:</p>

<pre><code>var graph = new TFGraph();
var model = File.ReadAllBytes(ModelsFile);
graph.Import(model, """");
</code></pre>

<p>Does somebody know what I should do to prevent this exception?</p>

<p>Bruno</p>
",
How to create an optimizer in Tensorflow,"<p>I want to write a new optimization algorithm for my network on Tensorflow. I hope to implement the <a href=""https://en.wikipedia.org/wiki/Levenberg%E2%80%93Marquardt_algorithm"">Levenberg Marquardt optimization algorithm</a>, which now is excluded from TF API. I found poor documentation on how to write a custom optimizer, so i ask if someone can give my any advice. Thanks.</p>
",
Is RNN initial state reset for subsequent mini-batches?,"<p>Could someone please clarify whether the initial state of the RNN in TF is reset for subsequent mini-batches, or the last state of the previous mini-batch is used as mentioned in <a href=""https://arxiv.org/abs/1409.2329"" rel=""nofollow noreferrer"">Ilya Sutskever et al., ICLR 2015 </a> ?</p>
",
How to build a shared library for TensorFlow on Travis-CI,"<p>I'm assisting in building a <a href=""https://github.com/Arafatk/tensorflow.rb"">Ruby-wrapper</a> for <a href=""https://www.tensorflow.org/"">TensorFlow</a>. Obviously. we'd want to setup automatic test of the project and so I'm <a href=""https://github.com/chrhansen/tensorflow.rb/pull/1/files"">currently</a> <strike>trying</strike> struggling to configure Travis-CI to build the project and run tests like I can on my own machine (OSX El Capitan). </p>

<p>My question is: What is the magic that needs to go in the <code>.travis.yml</code>-file to properly <code>bazel build</code> a shared lib (<code>tensorflow.so</code>) for TensorFlow?</p>

<p>As far as I can tell, I've successfully installed <a href=""https://www.tensorflow.org/versions/r0.9/get_started/os_setup.html#installing-from-sources"">TensorFlow's dependencies</a>, including Google's build tool <a href=""http://www.bazel.io/"">Bazel</a>, but Travis-CI still can't build. As of this writing the <code>bazel build</code> command fails with the message:</p>

<pre><code>...
...
INFO: Building...
[1 / 13] Writing file external/gif_archive/libgif.so-2.params
[3 / 13] Compiling external/gif_archive/giflib-5.1.4/lib/egif_lib.c
ERROR: /home/travis/.cache/bazel/_bazel_travis/1a58902034d650eeef2a9da5b1248179/external/gif_archive/BUILD:14:1: C++ compilation of rule '@gif_archive//:gif' failed: namespace-sandbox failed: error executing command 
  (cd /home/travis/.cache/bazel/_bazel_travis/1a58902034d650eeef2a9da5b1248179/execroot/tensorflow &amp;&amp; \
  exec env - \
...
...
The command ""bazel build --verbose_failures=1 @gif_archive//:gif"" failed and exited with 1 during .
</code></pre>

<p><a href=""https://travis-ci.org/chrhansen/tensorflow.rb/builds/145716589"">https://travis-ci.org/chrhansen/tensorflow.rb/builds/145716589</a></p>

<p>Note: I've noticed that the guys over at github.com/node-tensorflow/node-tensorflow successfully made this happen: <a href=""https://travis-ci.org/node-tensorflow/node-tensorflow/builds"">https://travis-ci.org/node-tensorflow/node-tensorflow/builds</a></p>

<p>UPDATE: <a href=""https://github.com/tensorflow/tensorflow/issues/3374"">https://github.com/tensorflow/tensorflow/issues/3374</a></p>
",
What is the equivalent of np.std() in TensorFlow?,"<p>Just looking for the equivalent of np.std() in TensorFlow to calculate the standard deviation of a tensor.</p>
",
TensorFlow operator overloading,"<p>What is the difference between </p>

<pre><code>   tf.add(x, y)
</code></pre>

<p>and </p>

<pre><code>   x + y
</code></pre>

<p>in TensorFlow? What would be different in your computation graph when you construct your graph with <code>+</code> instead of <code>tf.add()</code>? </p>

<p>More generally, are  <code>+</code> or other operations overloaded for tensors?</p>
",
For what reason Convolution 1x1 is used in deep neural networks?,"<p>I'm looking at InceptionV3 (GoogLeNet) architecture and cannot understand why do we need conv1x1 layers?</p>

<p>I know how convolution works, but I see a profit with patch size > 1. </p>
",
